id;institution_id;campus_name;region_id;level_id;address;major_id;name;accredited;accredited_years;area_id;duration;duration_type;tuition;application_type;shift;entry_req;benefits;vacancies;repostulacion
I39S7C87J2V1;39;;NA;3;NA;142;INGENIERIA INDUSTRIAL;1;5;10;5;TRIMESTRES;2814100;NA;2;NA;0;NA;NA
I39S7C87J2V2;39;;NA;3;NA;142;INGENIERIA INDUSTRIAL;1;5;10;6;TRIMESTRES;2814100;NA;2;NA;0;NA;NA
I629S4C160J1V1;629;;5;1;NA;259;TECNICO DE NIVEL SUPERIOR EN COMPUTACION E INFORMATICA CON ESPECIALIDAD EN CIBERSEGURIDAD;1;4;10;5;SEMESTRES;1563400;NA;1;NA;1;NA;NA
I19S5C104J2V1;19;;NA;3;NA;389;TRABAJO SOCIAL;1;4;5;10;SEMESTRES;2450000;NA;2;NA;0;NA;NA
I19S5C10J2V2;19;;NA;3;NA;4;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS;1;4;1;5;SEMESTRES;2590000;NA;2;NA;0;NA;NA
I629S4C161J2V1;629;;5;1;NA;316;TECNICO DE NIVEL SUPERIOR EN MANTENIMIENTO INDUSTRIAL CON ESPECIALIDAD EN EQUIPOS MOVILES Y CONTROL DE PROCESOS;1;4;10;6;SEMESTRES;1563400;NA;2;NA;1;NA;NA
I19S5C131J5V1;19;;NA;3;NA;39;DERECHO;1;4;6;11;SEMESTRES;4492000;NA;2;NA;0;NA;NA
I19S5C132J5V1;19;;NA;3;NA;83;INGENIERIA COMERCIAL;1;4;1;10;SEMESTRES;3647000;NA;2;NA;0;NA;NA
I19S5C133J5V1;19;;NA;3;NA;4;INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS;1;4;1;8;SEMESTRES;2590000;NA;2;NA;0;NA;NA
I629S5C115J2V1;629;;5;1;NA;269;TECNICO EN CONTABILIDAD GENERAL;1;4;1;5;SEMESTRES;1563400;NA;2;NA;1;NA;NA
I19S5C158J5V1;19;;NA;3;NA;201;PSICOLOGIA;1;4;5;11;SEMESTRES;4334000;NA;2;NA;0;NA;NA
I39S8C180J2V2;39;;NA;3;NA;4;INGENIERIA EN ADMINISTRACION DE EMPRESAS;1;5;1;6;TRIMESTRES;2814100;NA;2;NA;0;NA;NA
I629S5C134J2V1;629;;5;1;NA;300;TECNICO EN GASTRONOMIA INTERNACIONAL;1;4;1;5;SEMESTRES;1940400;NA;2;NA;1;NA;NA
I19S5C226J1V1;19;;NA;3;NA;233;TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS;1;4;1;4;SEMESTRES;1797000;NA;1;NA;0;NA;NA
I19S5C226J5V1;19;;NA;3;NA;233;TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS;1;4;1;4;SEMESTRES;1903000;NA;2;NA;0;NA;NA
I39S8C1J2V2;39;;NA;3;NA;83;INGENIERIA COMERCIAL;1;5;1;6;TRIMESTRES;3165700;NA;2;NA;0;NA;NA
I629S5C151J2V1;629;;5;1;NA;356;TECNICO EN TRABAJO SOCIAL;1;4;5;5;SEMESTRES;1563400;NA;2;NA;1;NA;NA
I39S8C21J5V1;39;;NA;3;NA;190;PEDAGOGIA EN EDUCACION DIFERENCIAL - PLAN DE PROSECUCION DE ESTUDIOS;1;5;7;4;TRIMESTRES;2522800;NA;2;NA;0;NA;NA
I19S5C2J2V2;19;;NA;3;NA;83;INGENIERIA COMERCIAL;1;4;1;8;SEMESTRES;3647000;NA;2;NA;0;NA;NA
I19S5C32J2V2;19;;NA;3;NA;142;INGENIERIA DE EJECUCION INDUSTRIAL;1;4;10;5;SEMESTRES;2854000;NA;2;NA;0;NA;NA
I19S5C32J5V2;19;;NA;3;NA;142;INGENIERIA DE EJECUCION INDUSTRIAL;1;4;10;9;SEMESTRES;2854000;NA;2;NA;0;NA;NA
I19S5C334J2V2;19;;NA;3;NA;77;INGENIERIA CIVIL INDUSTRIAL;1;4;10;5;SEMESTRES;3964000;NA;2;NA;0;NA;NA
I39S8C2J5V1;39;;NA;3;NA;201;PSICOLOGIA;1;5;5;8;TRIMESTRES;3267900;NA;2;NA;0;NA;NA
I19S5C37J5V1;19;;NA;3;NA;152;MEDICINA VETERINARIA;1;4;2;10;SEMESTRES;4405000;NA;2;NA;0;NA;NA
I629S6C119J1V1;629;;5;1;NA;331;TECNICO EN OPERACIONES MINERAS;1;4;10;5;SEMESTRES;1563400;NA;1;NA;1;NA;NA
I629S6C119J2V1;629;;5;1;NA;331;TECNICO EN OPERACIONES MINERAS;1;4;10;5;SEMESTRES;1563400;NA;2;NA;1;NA;NA
I629S6C151J1V1;629;;5;1;NA;356;TECNICO EN TRABAJO SOCIAL;1;4;5;5;SEMESTRES;1563400;NA;1;NA;1;NA;NA
I629S6C151J2V1;629;;5;1;NA;356;TECNICO EN TRABAJO SOCIAL;1;4;5;5;SEMESTRES;1563400;NA;2;NA;1;NA;NA
I19S6C104J2V1;19;;NA;3;NA;389;TRABAJO SOCIAL;1;4;5;10;SEMESTRES;2822000;NA;2;NA;0;NA;NA
I629S6C160J1V1;629;;5;1;NA;259;TECNICO DE NIVEL SUPERIOR EN COMPUTACION E INFORMATICA CON ESPECIALIDAD EN CIBERSEGURIDAD;1;4;10;5;SEMESTRES;1563400;NA;1;NA;1;NA;NA
I19S6C126J2V2;19;;NA;3;NA;36;CONSTRUCCION CIVIL;1;4;10;5;SEMESTRES;3826000;NA;2;NA;0;NA;NA
I19S6C131J5V1;19;;NA;3;NA;39;DERECHO;1;4;6;11;SEMESTRES;4334000;NA;2;NA;0;NA;NA
I19S6C132J5V1;19;;NA;3;NA;83;INGENIERIA COMERCIAL;1;4;1;10;SEMESTRES;3911000;NA;2;NA;0;NA;NA
I19S6C138J5V1;19;;NA;3;NA;142;INGENIERIA DE EJECUCION INDUSTRIAL;1;4;10;9;SEMESTRES;2907000;NA;2;NA;0;NA;NA
I629S7C116J1V1;629;;5;1;NA;220;TECNICO EN EDUCACION PARVULARIA;1;4;7;5;SEMESTRES;1563400;NA;1;NA;1;NA;NA
I19S6C154J1V1;19;;NA;3;NA;297;TECNICO DE NIVEL SUPERIOR EN ENFERMERIA;1;4;9;5;SEMESTRES;2254000;NA;1;NA;0;NA;NA
I19S6C154J2V1;19;;NA;3;NA;297;TECNICO DE NIVEL SUPERIOR EN ENFERMERIA;1;4;9;5;SEMESTRES;2254000;NA;2;NA;0;NA;NA
I19S6C158J5V1;19;;NA;3;NA;201;PSICOLOGIA;1;4;5;11;SEMESTRES;4308000;NA;2;NA;0;NA;NA
